Date,Close,Volume,Open,High,Low
08/02/2011,$5.468,7746100,$5.738,$5.84,$5.454
08/03/2011,$5.44,8951050,$5.5,$5.566,$5.2672
08/04/2011,$4.95,15321165,$5.302,$5.378,$4.934
08/05/2011,$4.848,9821880,$4.998,$5.076,$4.566
08/08/2011,$4.728,13042360,$4.62,$4.888,$4.62
08/09/2011,$5.012,6666910,$4.83,$5.09,$4.74
08/10/2011,$4.764,7820735,$5.088,$5.088,$4.726
08/11/2011,$5.06,4149420,$4.808,$5.15,$4.8
08/12/2011,$5.262,5045100,$5.12,$5.428,$5.072
08/15/2011,$5.246,3692860,$5.324,$5.35,$5.186
08/16/2011,$5.22,2688440,$5.226,$5.308,$5.166
08/17/2011,$5.166,3204610,$5.278,$5.33,$5.102
08/18/2011,$4.852,5282845,$5,$5.03,$4.694
08/19/2011,$4.46,6875385,$4.772,$4.844,$4.4
08/22/2011,$4.39,4930405,$4.622,$4.76,$4.336
08/23/2011,$4.592,4344840,$4.386,$4.622,$4.3
08/24/2011,$4.774,3421190,$4.62,$4.786,$4.566
08/25/2011,$4.622,3398700,$4.774,$4.774,$4.58
08/26/2011,$4.746,3808780,$4.542,$4.79,$4.414
08/29/2011,$4.942,4016510,$4.844,$4.97,$4.804
08/30/2011,$4.926,1830795,$4.9,$4.954,$4.818
08/31/2011,$4.948,4118675,$4.96,$5.1,$4.856
09/01/2011,$4.8,4240425,$4.932,$4.974,$4.767
09/02/2011,$4.614,3849155,$4.732,$4.798,$4.536
09/06/2011,$4.588,4048800,$4.5,$4.64,$4.458
09/07/2011,$4.768,2295930,$4.678,$4.8,$4.656
09/08/2011,$4.722,2528485,$4.716,$4.806,$4.656
09/09/2011,$4.594,3346315,$4.674,$4.714,$4.51
09/12/2011,$4.576,2832855,$4.5,$4.662,$4.49
09/13/2011,$4.816,3632305,$4.602,$4.82,$4.55
09/14/2011,$4.868,4153885,$4.85,$4.968,$4.758
09/15/2011,$4.964,2812560,$4.916,$4.986,$4.866
09/16/2011,$5.16,7000465,$4.956,$5.168,$4.898
09/19/2011,$5.154,5786745,$4.99,$5.162,$4.764
09/20/2011,$5.202,5901755,$5.196,$5.32,$5.134
09/21/2011,$5.17,4937885,$5.19,$5.39,$5.14
09/22/2011,$5.126,3879010,$5.128,$5.222,$4.976
09/23/2011,$5.276,5781640,$5.098,$5.324,$5.07
09/26/2011,$5.104,4672075,$5.304,$5.304,$4.98
09/27/2011,$5.238,3372145,$5.2,$5.398,$5.114
09/28/2011,$4.918,3616030,$5.2,$5.3,$4.902
09/29/2011,$4.824,4647725,$5.144,$5.164,$4.71
09/30/2011,$4.878,6680270,$4.96,$4.978,$4.698
10/03/2011,$4.746,5115650,$4.99,$5,$4.65
10/04/2011,$4.732,6001070,$4.658,$4.864,$4.586
10/05/2011,$5.074,6145340,$4.806,$5.167,$4.67
10/06/2011,$5.392,8845130,$5.074,$5.52,$5.004
10/07/2011,$5.398,6557740,$5.396,$5.52,$5.21
10/10/2011,$5.576,4617080,$5.462,$5.636,$5.4
10/11/2011,$5.522,2878015,$5.502,$5.554,$5.418
10/12/2011,$5.56,5616820,$5.45,$5.6,$5.44
10/13/2011,$5.588,5217065,$5.526,$5.694,$5.488
10/14/2011,$5.61,7002345,$5.6,$5.71,$5.452
10/17/2011,$5.484,3772195,$5.572,$5.6,$5.452
10/18/2011,$5.668,4973450,$5.46,$5.6855,$5.342
10/19/2011,$5.514,3964250,$5.604,$5.612,$5.46
10/20/2011,$5.468,4998235,$5.488,$5.494,$5.4
10/21/2011,$5.606,5712750,$5.48,$5.66,$5.402
10/24/2011,$5.71,4702750,$5.574,$5.778,$5.55
10/25/2011,$5.65,3271855,$5.646,$5.772,$5.56
10/26/2011,$5.596,2552395,$5.638,$5.674,$5.48
10/27/2011,$5.752,4346675,$5.668,$5.79,$5.622
10/28/2011,$5.974,6319865,$5.7,$6,$5.602
10/31/2011,$5.874,5669845,$5.9,$5.902,$5.75
11/01/2011,$5.776,3175875,$5.678,$5.784,$5.6
11/02/2011,$5.742,4374380,$5.8,$5.852,$5.65
11/03/2011,$6.492,12547615,$6,$6.498,$5.906
11/04/2011,$6.462,15164285,$6.292,$6.48,$6.102
11/07/2011,$6.254,6329345,$6.328,$6.4,$6.15
11/08/2011,$6.368,5839150,$6.274,$6.4,$6.144
11/09/2011,$6.176,4768280,$6.174,$6.298,$6.06
11/10/2011,$6.266,3736365,$6.188,$6.3,$6.13
11/11/2011,$6.728,19341380,$6.38,$6.9,$6.114
11/14/2011,$6.644,6628280,$6.6,$6.708,$6.524
11/15/2011,$6.786,4454025,$6.584,$6.88,$6.546
11/16/2011,$6.988,9164280,$6.696,$7,$6.6806
11/17/2011,$6.736,6746325,$6.9,$6.98,$6.638
11/18/2011,$6.52,4512645,$6.728,$6.822,$6.508
11/21/2011,$6.352,5157620,$6.488,$6.488,$6.21
11/22/2011,$6.414,3662590,$6.352,$6.558,$6.21
11/23/2011,$6.29,2258565,$6.352,$6.41,$6.25
11/25/2011,$6.332,1197975,$6.31,$6.482,$6.216
11/28/2011,$6.512,3405620,$6.4,$6.656,$6.362
11/29/2011,$6.35,2955270,$6.498,$6.614,$6.326
11/30/2011,$6.548,3801325,$6.5,$6.586,$6.444
12/01/2011,$6.52,5150540,$6.514,$6.798,$6.396
12/02/2011,$6.66,4013590,$6.566,$6.738,$6.48
12/05/2011,$6.884,5800250,$6.706,$7,$6.686
12/06/2011,$6.974,4758550,$6.84,$6.996,$6.8062
12/07/2011,$6.838,3371220,$6.926,$6.978,$6.76
12/08/2011,$6.178,16524420,$6.168,$6.33,$5.922
12/09/2011,$6.208,6197220,$6.108,$6.224,$6.056
12/12/2011,$6.082,3793285,$6.088,$6.124,$6.004
12/13/2011,$5.89,4970075,$6.114,$6.186,$5.7822
12/14/2011,$5.706,5819200,$5.9,$5.936,$5.6
12/15/2011,$5.724,3501305,$5.734,$5.834,$5.624
12/16/2011,$5.6,5148025,$5.758,$5.786,$5.596
12/19/2011,$5.55,4934760,$5.618,$5.7,$5.474
12/20/2011,$5.58,4216405,$5.61,$5.69,$5.543
12/21/2011,$5.514,8527035,$5.582,$5.614,$5.206
12/22/2011,$5.554,5046510,$5.52,$5.61,$5.46
12/23/2011,$5.58,2956950,$5.6,$5.6,$5.504
12/27/2011,$5.714,3887015,$5.532,$5.754,$5.528
12/28/2011,$5.702,2875690,$5.798,$5.8479,$5.608
12/29/2011,$5.746,2440750,$5.718,$5.868,$5.7098
12/30/2011,$5.712,1698300,$5.698,$5.796,$5.65
01/03/2012,$5.616,4640260,$5.788,$5.9,$5.53
01/04/2012,$5.542,3150180,$5.642,$5.734,$5.5
01/05/2012,$5.424,5027160,$5.552,$5.586,$5.37
01/06/2012,$5.382,4931435,$5.44,$5.558,$5.282
01/09/2012,$5.45,4484755,$5.4,$5.498,$5.224
01/10/2012,$5.524,3357660,$5.488,$5.552,$5.45
01/11/2012,$5.646,3360695,$5.524,$5.676,$5.46
01/12/2012,$5.65,3646500,$5.696,$5.724,$5.561
01/13/2012,$4.558,27333645,$5.68,$5.7,$4.528
01/17/2012,$5.32,23256455,$5.324,$5.468,$5.282
01/18/2012,$5.362,6300915,$5.338,$5.376,$5.25
01/19/2012,$5.352,6231110,$5.438,$5.548,$5.322
01/20/2012,$5.32,3311445,$5.38,$5.4,$5.28
01/23/2012,$5.354,2972665,$5.362,$5.442,$5.32
01/24/2012,$5.484,4289570,$5.326,$5.536,$5.288
01/25/2012,$5.594,3055560,$5.454,$5.602,$5.41
01/26/2012,$5.788,6355140,$5.614,$5.916,$5.6
01/27/2012,$5.866,3741805,$5.7,$5.944,$5.7
01/30/2012,$5.914,3644895,$5.898,$5.922,$5.7058
01/31/2012,$5.814,4781565,$5.98,$6,$5.774
02/01/2012,$5.916,2614620,$5.814,$5.94,$5.8
02/02/2012,$6.05,4028050,$5.944,$6.176,$5.921
02/03/2012,$6.23,3822090,$6.082,$6.266,$6.05
02/06/2012,$6.36,3259305,$6.22,$6.38,$6.21
02/07/2012,$6.32,5107515,$6.36,$6.36,$6.164
02/08/2012,$6.386,3118130,$6.32,$6.402,$6.258
02/09/2012,$6.516,6384720,$6.4,$6.58,$6.286
02/10/2012,$6.22,9370695,$6.452,$6.4539,$5.968
02/13/2012,$6.298,5789290,$6.31,$6.412,$6.18
02/14/2012,$6.634,9053045,$6.348,$6.758,$6.28
02/15/2012,$6.72,13785310,$6.62,$6.882,$6.454
02/16/2012,$6.836,11098180,$6.7,$6.902,$6.508
02/17/2012,$6.994,6883225,$6.798,$6.994,$6.7
02/21/2012,$6.9,5678940,$6.974,$6.974,$6.762
02/22/2012,$6.844,8272850,$6.9,$6.944,$6.5
02/23/2012,$6.906,4101725,$6.798,$6.994,$6.712
02/24/2012,$6.75,4798830,$6.846,$6.904,$6.654
02/27/2012,$6.724,3029765,$6.682,$6.8,$6.6
02/28/2012,$6.762,3060915,$6.728,$6.888,$6.634
02/29/2012,$6.682,2677920,$6.762,$6.824,$6.628
03/01/2012,$6.882,3517175,$6.702,$6.9,$6.661
03/02/2012,$6.808,2749855,$6.88,$6.9,$6.742
03/05/2012,$6.754,2334690,$6.87,$6.88,$6.692
03/06/2012,$6.622,2868745,$6.65,$6.656,$6.524
03/07/2012,$6.624,1824155,$6.624,$6.663,$6.5821
03/08/2012,$6.614,3166335,$6.622,$6.698,$6.608
03/09/2012,$6.948,7766615,$6.64,$7.062,$6.64
03/12/2012,$7.202,9812000,$6.938,$7.258,$6.92
03/13/2012,$7.218,5007715,$7.302,$7.318,$7.1
03/14/2012,$7.058,4257320,$7.2,$7.2,$6.96
03/15/2012,$7,2857980,$7.056,$7.096,$6.956
03/16/2012,$7.064,3641680,$6.98,$7.178,$6.966
03/19/2012,$6.996,5077930,$7.052,$7.064,$6.908
03/20/2012,$6.992,2835005,$6.996,$7.04,$6.914
03/21/2012,$7.03,3035515,$6.988,$7.06,$6.92
03/22/2012,$6.88,2611765,$6.994,$7.03,$6.86
03/23/2012,$6.816,5852835,$6.852,$6.926,$6.63
03/26/2012,$7.48,15702350,$7.118,$7.618,$7.0083
03/27/2012,$7.588,12695890,$7.432,$7.99,$7.406
03/28/2012,$7.57,4774350,$7.556,$7.688,$7.4221
